N5.txt,N4.txt,N3.txt,N2.txt,N1.txt
,,条件,定規,宮殿
,,正午,上級,窮乏
,,正直,商業,丘陵
,,常識,消極的,共
,,少女,賞金,供
,,少々,上下,驚異
,,症状,障子,教員
,,生じる,商社,教科
,,状態,乗車,協会
,,招待,上旬,共感
,,上達,生ずる,共学
,,冗談,小数,協議
,,承知,商店,教訓
,,上等,焦点,境遇
,,衝突,消毒,強行
,,商人,勝敗,強硬
,,承認,蒸発,凶作
,,少年,賞品,共産
,,商売,勝負,教材
,,消費,小便,教習
,,商品,消防署,郷愁
,,消防,正味,教職
,,情報,正面,享受
,,証明,消耗,興じる
,,女王,醤油,強制
,,職,省略,共存
,,職業,初級,姉妹
,,食事,助教授,協調
,,食卓,食塩,協定
,,食品,職人,脅迫
,,植物,初旬,共鳴
,,食物,書籍,郷里
,,食欲,食器,強烈
,,食料,ショップ,共和
,,食糧,書店,曲
,,書斎,書道,局限
,,女子,白髪,極端
,,助手,知合い,居住
,,徐々に,シリーズ,拒絶
,,署名,私立,拒否
,,書物,資料,許容
,,女優,汁,距離
,,処理,素人,寄与
,,書類,芯,清らか
,,知らせ,新幹線,気楽
,,尻,真空,煌びやか
,,印,信ずる,切り
,,城,心身,桐
,,進学,申請,切り替える
,,神経,人造,気流
,,真剣,寝台,奇麗
,,信仰,診断,切れ目
,,信号,侵入,際
,,人工,人文科学,木綿
,,深刻,人命,極めて
,,診察,深夜,僅
,,人種,森林,近眼
,,信じる,親類,緊急
,,人生,針路,近々
,,親戚,神話,近郊
,,新鮮,酢,均衡
,,心臓,水産,近視
,,身体,炊事,禁じる
,,身長,水蒸気,禁ずる
,,慎重,水素,勤勉
,,心配,垂直,勤務
,,審判,推定,禁物
,,人物,水滴,勤労
,,進歩,水筒,議案
,,親友,随筆,戯曲
,,信用,水分,議決
,,信頼,水平,議事堂
,,心理,水平線,犠牲
,,人類,水曜,偽造
,,州,ずうずうしい,議題
,,巣,ずうっと,技能
,,図,末っ子,逆転
,,水準,スカーフ,行
,,推薦,図鑑,業者
,,随分,杉,行政
,,睡眠,好き嫌い,業績
,,数,好き好き,業務
,,数字,透き通る,玉
,,末,隙間,漁船
,,姿,スクール,漁村
,,空く,すくなくとも,義理
,,救う,図形,疑惑
,,優れる,スケジュール,吟味
,,すごい,鈴,区
,,少しも,涼む,食い違う
,,過ごす,スタート,空腹
,,筋,スチュワーデス,区画
,,進める,すっきり,区間
,,勧める,すっぱい,茎
,,頭痛,ステージ,区切り
,,ずっと,棄てる,潜る
,,すてき,ストッキング,種々
,,既に,ストップ,嚏
,,すなわち,素直,旧事
,,素晴らしい,頭脳,籤引
,,全て,スピーカー,擽ぐったい
,,全て,図表,草臥れる
,,済ませる,スマート,下らない
,,すみません,住まい,件
,,為る,すまない,口ずさむ
,,すると,墨,嘴
,,鋭い,澄む,朽ちる
,,背,清む,くっきり
,,正,相撲,屈折
,,性,スライド,くっ付く
,,所為,ずらす,くっ付ける
,,税,ずらり,覆す
,,性格,掏摸,諄い
,,正確,刷る,国境
,,世紀,狡い,首飾り
,,請求,すれちがう,首輪
,,税金,ずれる,組み合わせ
,,清潔,寸法,組み合わせる
,,制限,姓,組み込む
,,成功,税関,蔵
,,生産,製作,苦しめる
,,正式,制作,包む
,,精神,性質,呉れ呉れも
,,成人,清書,呉れる
,,精々,青少年,玄人
,,成績,整数,黒字
,,製造,清掃,君主
,,贅沢,生存,愚痴
,,成長,生長,ぐっと
,,制度,政党,ぐらい
,,青年,生年月日,群
,,製品,性能,軍艦
,,政府,整備,群集
,,生物,成分,軍事
,,生命,性別,軍備
,,整理,正方形,軍服
,,咳,正門,刑
,,石炭,成立,頃
,,責任,西暦,傾
,,石油,背負う,系
,,世間,赤道,経過
,,説,折角,軽快
,,積極的,接近,警戒
,,設計,石鹸,計器
,,絶対,接する,契機
,,設備,せっせと,敬具
,,絶滅,接続,軽減
,,節約,瀬戸物,掲載
,,是非,ぜひとも,傾斜
,,責める,迫る,形成
,,世話,ゼミ,形勢
,,善,せめて,軽率
,,全員,攻める,携帯
,,専攻,セメント,形態
,,全国,栓,刑罰
,,先日,前後,経費
,,前者,洗剤,警部
,,選手,全集,軽蔑
,,前進,全身,経歴
,,全然,扇子,経路
,,全体,専制,汚す
,,選択,先々月,汚らわしい
,,そう,先々週,汚れ
,,象,先祖,汚れる
,,騒音,先端,獣
,,増加,センチ,吝嗇
,,操作,宣伝,結核
,,掃除,先頭,血管
,,想像,全般,決行
,,相続,扇風機,決算
,,相談,線路,決勝
,,装置,相違,結晶
,,相当,そういえば,結成
,,速度,雑巾,結束
,,底,増減,傑
,,そこで,倉庫,決意
,,組織,相互,決議
,,そして,創作,結合
,,注ぐ,葬式,決断
,,育つ,そうして,欠乏
,,そっくり,造船,蹴飛ばす
,,そっと,騒々しい,貶す
,,袖,増大,煙たい
,,備える,そうっと,煙る
,,その,送別,家来
,,そのうち,草履,けれど
,,そのまま,総理大臣,圏
,,側,送料,権
,,粗末,属する,権威
,,それ,続々,兼業
,,それぞれ,速達,権限
,,それでも,測定,健在
,,それとも,測量,懸賞
,,損,速力,検事
,,損害,素質,健全
,,尊敬,祖先,見地
,,存在,そそっかしい,賢明
,,尊重,卒直,倹約
,,田,具える,兼用
,,他,そのうえ,権力
,,台,その頃,劇団
,,題,そのため,激励
,,体育,そのほか,月謝
,,体温,蕎麦,げっそり
,,大会,剃る,月賦
,,大気,それなのに,下痢
,,代金,逸れる,原
,,退屈,揃う,原形
,,滞在,揃える,現行
,,大使,算盤,原作
,,大した,存じる,原子
,,対象,存ずる,元首
,,大臣,損得,原書
,,対する,田ぼ,減少
,,大戦,第一,現場
,,大抵,退院,元素
,,態度,大学院,原則
,,大統領,大工,現像
,,大半,体系,現地
,,代表,太鼓,限定
,,大部分,対策,原点
,,大変,大して,原典
,,逮捕,対照,減点
,,太陽,大小,原爆
,,平ら,体制,原文
,,代理,体積,厳密
,,大陸,大層,原油
,,倒す,体操,言論
,,だが,大分,故
,,互い,大木,戸
,,宝,題名,児
,,だから,代名詞,巨
,,宅,タイア,恋する
,,だけど,ダイヤグラム,溝
,,確かめる,ダイヤモンド,好意
,,多少,ダイヤル,行為
,,助ける,対立,行員
,,ただ,田植え,交易
,,唯,絶えず,公演
,,戦い,楕円,後悔
,,戦う,高める,公開
,,叩く,耕す,航海
,,直ちに,滝,工学
,,立ち上がる,炊く,皇居
,,立場,焚く,好況
,,経つ,蓄える,抗議
,,達する,竹,鉱業
,,唯,助かる,興業
,,だって,只,高原
,,たっぷり,但し,煌々と
,,縦,畳む,考古学
,,たとえ,立ち止まる,交互
,,谷,たちまち,工作
,,他人,建つ,耕作
,,種,発つ,鉱山
,,束,脱線,講習
,,度,妥当,交渉
,,旅,例える,高尚
,,たびたび,頼もしい,行進
,,多分,足袋,香辛料
,,玉,ダブル,口述
,,球,だます,控除
,,弾,溜まる,向上
,,偶々,ダム,降水
,,たまらない,溜息,洪水
,,黙る,ためらう,公然
,,駄目,溜める,抗争
,,試し,だらしない,構想
,,試す,足る,拘束
,,便り,段階,後退
,,頼る,短期,光沢
,,誰か,炭鉱,公団
,,段,短所,好調
,,単位,たんす,口頭
,,単語,淡水,講読
,,男子,断水,購読
,,単純,単数,購入
,,誕生,団地,公認
,,団体,断定,光熱費
,,担当,短編,荒廃
,,単なる,誓う,購買
,,単に,地下水,好評
,,地,近々,交付
,,地位,近付ける,降伏
,,地域,近寄る,興奮
,,知恵,力強い,公募
,,地下,ちぎる,巧妙
,,違い,地質,公用
,,違いない,知人,小売
,,近頃,地帯,効率
,,地球,縮む,公立
,,地区,縮める,小柄
,,遅刻,縮れる,小切手
,,知事,チップ,国産
,,知識,地点,国定
,,父親,地名,国土
,,知能,茶色い,告白
,,地平線,着々,国防
,,地方,茶碗,国有
,,茶,中間,国連
,,ちゃんと,中旬,漕ぐ
,,中,抽象,焦げ茶
,,注,中世,個々
,,中央,中性,箇箇
,,中学,中途,心地
,,中古,中年,心得
,,中止,超過,心掛け
,,駐車,彫刻,心掛ける
,,昼食,長所,志
,,中心,長女,志す
,,注目,調整,心強い
,,注文,調節,心細い
,,長期,長短,試み
,,調査,頂点,試みる
,,調子,長男,快い
,,頂上,長方形,凝らす
,,ちょうだい,調味料,凝る
,,貯金,チョーク,拵える
,,直接,直後,孤児
,,著者,直線,拗れる
,,対,直前,故人
,,遂に,直通,梢
,,通過,直流,個性
,,通学,貯蔵,戸籍
,,通行,直角,小銭
,,通じる,直径,固体
,,通信,散らかす,答え
,,捕まる,散らかる,堪える
,,掴む,散らす,火燵
,,疲れ,塵紙,古代
,,月,散る,こだわる
,,付き合い,追加,誇張
,,次々,ついで,滑稽
,,就く,通貨,国交
,,注ぐ,通勤,骨董品
,,付ける,通ずる,骨
,,土,通知,固定
,,続き,通帳,事柄
,,包み,通訳,悉く
,,勤め,通用,言伝
,,務め,通路,殊に
,,繋ぐ,付合う,事によると
,,常に,突き当たり,孤独
,,角,突き当たる,粉々
,,翼,月日,此の
,,つまり,点く,この間
,,罪,突く,この頃
,,詰める,次ぐ,好ましい
,,積もる,作る,個別
,,梅雨,着ける,零す
,,辛い,点ける,零れる
,,釣,浸ける,細やか
,,連れ,伝わる,混む
,,出会い,突っ込む,込める
,,出会う,務める,篭る
,,提案,努める,固有
,,定期,綱,雇用
,,抵抗,繋がり,暦
,,提出,繋がる,堪える
,,程度,繋げる,孤立
,,停留所,粒,懲りる
,,敵,潰す,此れ
,,出来事,潰れる,此れ等
,,適する,つまずく,魂
,,適切,詰まる,根気
,,適度,積む,根拠
,,適用,爪,混血
,,できる,艶,昆虫
,,出来るだけ,強気,根底
,,できれば,釣り合う,混同
,,手品,吊る,今日は
,,ですから,吊す,今晩は
,,鉄,出合い,根本
,,哲学,手洗い,御
,,手伝い,定員,語彙
,,徹底,定価,濠
,,鉄道,低下,業
,,徹夜,定期券,号
,,では,定休日,合意
,,手間,停止,合議
,,でも,停車,強気
,,典型,停電,合成
,,天候,出入り,護衛
,,電子,出入口,語句
,,伝統,手入れ,極楽
,,天然,テーマ,ご苦労様
,,度,出掛ける,語源
,,問い,出来上がり,誤差
,,党,出来上がる,ご座います
,,塔,的確,ご馳走
,,答案,適確,ご馳走さま
,,同一,手首,毎
,,銅貨,凸凹,碁盤
,,当時,手頃,ご無沙汰
,,動詞,でたらめ,誤魔化す
,,同時,手帳,御免ください
,,どうしても,鉄橋,御免なさい
,,到着,手続き,御覧なさい
,,道徳,鉄砲,佐
,,投票,テニスコート,再
,,同様,手拭い,差異
,,同僚,手前,再会
,,道路,出迎え,災害
,,十,出迎える,細菌
,,通す,照らす,細工
,,通り,照る,採掘
,,通り過ぎる,展開,採決
,,都会,伝記,再建
,,時,電球,再現
,,解く,点数,採算
,,毒,伝染,採集
,,得意,電池,再生
,,読書,点々,最善
,,独身,転々,採択
,,特徴,電柱,再発
,,独特,天皇,栽培
,,独立,電波,細胞
,,解ける,テンポ,採用
,,どこか,電流,遮る
,,ところが,電力,囀る
,,ところで,問い合わせ,冴える
,,登山,銅,竿
,,都市,統一,栄える
,,年月,同格,杯
,,図書,峠,逆立ち
,,年寄,統計,逆上る
,,閉じる,動作,盛る
,,途端,東西,差額
,,土地,当日,下がる
,,突然,投書,一昨昨日
,,届く,登場,先に
,,とにかく,どうせ,詐欺
,,飛ばす,どうぞよろしく,作
,,飛び出す,灯台,策
,,留める,盗難,柵
,,友,当番,削減
,,共に,等分,錯誤
,,土曜,透明,作戦
,,虎,灯油,作物
,,取り上げる,東洋,叫び
,,努力,童話,裂ける
,,どれ,通り掛かる,捧げる
,,取れる,溶かす,差し掛かる
,,泥,尖る,指図
,,とんでもない,どきどき,差し出す
,,どんな,溶く,差し支える
,,どんなに,退く,差し引く
,,名,特殊,些事
,,内容,特色,授ける
,,なお,特長,嘸
,,仲,特定,定まる
,,流す,特売,定める
,,なかなか,溶け込む,錯覚
,,半ば,溶ける,早急
,,仲間,退ける,察する
,,眺め,床の間,さっと
,,眺める,床屋,冊
,,流れ,所々,殺人
,,流れる,都心,偖
,,無し,戸棚,悟る
,,なぜなら,とっくに,真実
,,謎,どっと,裁く
,,納得,整う,錆び
,,等,留まる,左程
,,七,どなる,様
,,何,飛び込む,三味線
,,何か,跳ぶ,侍
,,なにも,留まる,然も
,,鍋,泊める,作用
,,生,ともかく,左様なら
,,生,捕える,拐う
,,怠ける,取り入れる,爽やか
,,波,取り消す,障る
,,涙,取り出す,酸
,,悩む,採る,さん
,,為る,捕る,酸化
,,成る,トレーニング,山岳
,,縄,丼,産休
,,何で,内科,桟橋
,,何でも,内線,参議院
,,何とか,ナイロン,産後
,,似合う,治す,産出
,,匂い,永い,参照
,,苦手,仲直り,参上
,,握る,長引く,賛成
,,日,中身,賛美
,,日常,中味,産婦人科
,,日曜,中指,産物
,,日光,仲良し,山腹
,,にっこり,慰める,山脈
,,日中,亡くす,財
,,日本,なぐる,財源
,,入学,為す,在庫
,,入場,謎謎,財政
,,人気,傾らか,座談会
,,人間,懐かしい,雑貨
,,抜く,撫でる,雑
,,抜ける,斜め,雑談
,,布,なにしろ,雑木
,,濡れる,何々,座標
,,根,何分,残金
,,値,生意気,残酷
,,願い,並木,残高
,,願う,倣う,死
,,鼠,鳴らす,し
,,値段,生る,次
,,熱心,馴れる,仕上がり
,,熱帯,南極,仕上げ
,,熱中する,なんとなく,仕上げる
,,年間,なんとも,明々後日
,,年月,ナンバー,飼育
,,年中,南米,強いて
,,年代,南北,強いる
,,年齢,煮える,仕入れる
,,野,匂う,しいんと
,,能,逃がす,歯科
,,農家,憎い,資格
,,農業,憎む,視覚
,,農民,憎らしい,仕掛け
,,能力,にこにこ,仕掛ける
,,軒,濁る,然し
,,残す,虹,然しながら
,,残り,日時,而も
,,乗せる,日用品,市街
,,除く,日課,指揮
,,望み,日程,色彩
,,望む,鈍い,式場
,,後,入社,為来り
,,喉,女房,頻りに
,,伸ばす,睨む,仕切る
,,伸びる,煮る,資金
,,述べる,俄,施行
,,昇る,縫う,しくじる
,,のんびり,濡らす,仕組み
,,場,ねじ,死刑
,,はあ,捩る,湿気る
,,灰,ネックレス,思考
,,梅雨,熱する,志向
,,配達,寝間着,嗜好
,,俳優,寝巻,視察
,,墓,狙い,資産
,,馬鹿,狙う,刺繍
,,博士,年度,支持
,,計る,農産物,指示
,,履く,農村,雫
,,吐く,濃度,沈める
,,拍手,農薬,施設
,,莫大,能率,子息
,,爆発,のこぎり,慕う
,,博物館,残らず,従って
,,激しい,載せる,下心
,,はさみ,覗く,親しむ
,,破産,延ばす,下調べ
,,端,延びる,下地
,,始まり,上り,認める
,,外す,上る,仕立てる
,,旗,糊,下取り
,,肌,乗換,下火
,,裸,載る,失格
,,畑,鈍い,確り
,,二十,のろのろ,質素
,,働き,呑気,失調
,,発見,灰色,嫉妬
,,発行,俳句,尻尾
,,発車,拝見,室
,,罰する,売店,質疑
,,発達,バイバイ,躾
,,ばったり,売買,仕付ける
,,発展,這う,指摘
,,発表,生える,視点
,,発明,剥す,萎びる
,,話し合う,ばからしい,嫋か
,,離す,秤,屎尿
,,放す,量る,凌ぐ
,,離れる,測る,始発
,,羽,吐き気,芝
,,幅,はきはき,屡
,,母親,掃く,暫く
,,省く,歯車,痺れる
,,場面,バケツ,渋い
,,腹,挟まる,私物
,,原,挟む,しぶとい
,,針,箸,司法
,,張る,梯子,脂肪
,,番,始めに,志望
,,範囲,初めに,萎む
,,反抗,はじめまして,仕舞
,,犯罪,斜,仕舞う
,,判断,外れる,しまった
,,犯人,パターン,始末
,,販売,肌着,泌み泌み
,,灯,果して,染みる
,,被害,鉢,使命
,,比較,,締め切り
,,轢く,発揮,僕
,,悲劇,バック,社交
,,飛行,発射,謝絶
,,膝,発想,社宅
,,非常,発電,吃逆
,,美人,発売,喋る
,,額,派手,斜面
,,びっくり,話合い,洒落
,,日付,話し掛ける,洒落る
,,必死,話中,視野
,,ぴったり,甚だしい,種
,,引っ張る,花火,衆
,,否定,花嫁,周
,,一言,放れる,収益
,,人込み,羽根,修学
,,等しい,ばね,周期
,,独り,跳ねる,衆議院
,,一人一人,破片,就業
,,批判,歯磨き,修行
,,批評,はめる,集計
,,秘密,早口,襲撃
,,微妙,流行る,収支
,,紐,払い込む,終始
,,表,払い戻す,修士
,,費用,バランス,収集
,,秒,針金,修飾
,,評価,張り切る,終日
,,表現,反映,執着
,,表情,半径,収容
,,平等,判子,修了
,,評判,万歳,守衛
,,表面,判事,主演
,,広がる,反省,主観
,,品,番地,祝賀
,,瓶,パンツ,宿命
,,便,バンド,主権
,,不,半島,手芸
,,無,ハンドル,主催
,,分,日当たり,取材
,,不安,日帰り,趣旨
,,風景,比較的,主食
,,夫婦,日陰,主人公
,,笛,ぴかぴか,主体
,,不可,引受る,主題
,,武器,引返す,出血
,,服装,引算,出産
,,含む,引出す,出社
,,袋,引き止める,出生
,,不幸,卑怯,出世
,,節,引分け,出費
,,無事,髭,出品
,,不思議,陽射,出演
,,不自由,肘,出題
,,夫人,ピストル,出動
,,婦人,ビタミン,主導
,,不正,ぴたり,主任
,,防ぐ,引っ掛かる,首脳
,,不足,筆記,守備
,,舞台,引っ繰り返す,手法
,,双子,引っ繰り返る,私有
,,再び,引越し,諸
,,普段,引っ込む,背負う
,,縁,筆者,象
,,打つ,必需品,症
,,物価,人差指,傷
,,物質,一通り,商
,,物理,人通り,消去
,,筆,ひとまず,衝撃
,,ふと,瞳,証言
,,船,一休み,証拠
,,部分,独り言,消耗
,,不平,ひとりでに,照合
,,不満,ビニール,詳細
,,不利,皮肉,昇進
,,振る,日日,少数
,,震える,捻る,称する
,,触れる,日の入り,消息
,,風呂,日の出,承諾
,,分,響き,象徴
,,文,響く,小児科
,,雰囲気,皮膚,証人
,,分析,冷やす,照明
,,文明,ひゃっかじてん,勝利
,,分野,美容,奨励
,,塀,表紙,職員
,,平均,標識,植民地
,,平和,標準,職務
,,別に,標本,諸君
,,減らす,評論,所在
,,減る,平仮名,所々
,,変化,ビルディング,所持
,,勉強,昼寝,所属
,,変更,広げる,処置
,,弁当,広さ,しょっちゅう
,,方,広場,所定
,,法,広々,所得
,,棒,広める,初版
,,冒険,ピンク,処罰
,,方向,便箋,書評
,,報告,瓶詰,処分
,,宝石,ファスナー,庶民
,,放送,風船,庶務
,,豊富,不運,私用
,,方法,殖える,仕様
,,方々,深まる,使用人
,,訪問,不規則,調べ
,,吠える,普及,知り合い
,,頬,付近,退く
,,他,拭く,退ける
,,誇り,副詞,記す
,,埃,複写,指令
,,保証,複数,代
,,保存,含める,皺
,,程,膨らます,新
,,歩道,膨らむ,進化
,,仏,不潔,殿
,,骨,更ける,審議
,,炎,符号,進行
,,頬,夫妻,新興
,,ほぼ,塞がる,振興
,,微笑む,塞ぐ,申告
,,褒める,ふざける,新婚
,,濠,無沙汰,審査
,,本当,武士,紳士
,,本人,部首,進出
,,本物,襖,信者
,,ぼんやり,附属,真珠
,,間,蓋,心中
,,まあ,不通,心情
,,マイク,ぶつかる,新人
,,迷子,ぶつける,神聖
,,任せる,物騒,親善
,,幕,ぶつぶつ,真相
,,負け,船便,新築
,,孫,部品,進呈
,,まさか,吹雪,進展
,,まさに,父母,神殿
,,真面目,踏切,進度
,,増す,麓,振動
,,先ず,増やす,新入生
,,貧しい,殖やす,信任
,,ますます,フライパン,審判
,,又,ブラウス,神秘
,,未だ,ぶらさげる,辛抱
,,街,ブラシ,真理
,,間違い,プラスチック,侵略
,,松,プラットホーム,診療
,,真っ赤,フリー,進路
,,真っ直ぐ,振り仮名,自覚
,,全く,プリント,地方
,,祭,振舞う,自我
,,学ぶ,ブローチ,磁気
,,真似,プログラム,磁器
,,招く,風呂敷,事業
,,豆,ふわふわ,地形
,,守る,噴火,軸
,,丸,分解,自己
,,丸い,文芸,事項
,,まるで,文献,時刻表
,,回す,噴水,地獄
,,回り,分数,時差
,,万一,文体,自在
,,満足,分布,自主
,,身,文房具,自首
,,実,文脈,辞職
,,見送り,分量,自信
,,味方,分類,事前
,,見事,閉会,自尊心
,,満ちる,平気,持続
,,密な,並行,字体
,,認める,平日,辞退
,,見舞い,兵隊,じっくり
,,土産,平凡,実質
,,都,平野,実践
,,妙,凹む,実態
,,明後日,へそ,実費
,,未来,隔てる,十分
,,魅力,別荘,実
,,皆,別々,実業家
,,無,ベテラン,実情
,,向かい,ヘリコプター,自転
,,迎え,へる,自動詞
,,向く,ぺん,地主
,,向ける,編集,耳鼻科
,,無視,便所,地元
,,虫歯,ペンチ,弱
,,寧ろ,望遠鏡,若干
,,結ぶ,方角,砂利
,,無駄,箒,じゃん拳
,,夢中,方言,住
,,胸,坊さん,従業員
,,無料,防止,従事
,,芽,方針,充実
,,明確,包装,十字路
,,命じる,法則,絨毯
,,名人,包帯,柔軟
,,命令,膨大,重複
,,迷惑,庖丁,重宝
,,飯,方程式,従来
,,滅多に,防犯,塾
,,面,方面,樹木
,,綿,坊や,樹立
,,免許,放る,準急
,,面倒,ボーナス,準じる
,,申し込む,朗らか,準ずる
,,申し訳,牧場,助
,,毛布,牧畜,情
,,燃える,保健,尉
,,目的,募集,嬢
,,目標,干す,状
,,木曜,ポスター,上位
,,文字,北極,上演
,,もしも,坊っちゃん,城下
,,持ち上げる,ほどく,乗客
,,用いる,堀,上空
,,勿論,掘る,上司
,,最も,彫る,情緒
,,尤も,ぼろ,上昇
,,元,盆,情勢
,,基,盆地,情熱
,,戻す,本部,丈夫
,,基づく,本来,譲歩
,,求める,まあまあ,条約
,,者,枚数,上陸
,,物音,毎度,蒸留
,,物語,マイナス,除外
,,物事,巻く,助言
,,模様,蒔く,徐行
,,貰う,撒く,女史
,,文句,枕,助詞
,,文字,曲げる,助動詞
,,やがて,まごまご,自立
,,役,摩擦,人
,,約,混ざる,人格
,,訳,交ざる,人材
,,役割,混じる,迅速
,,家賃,交じる,人体
,,厄介,マスク,人民
,,宿,混ぜる,人目
,,雇う,交ぜる,水気
,,屋根,またぐ,水源
,,やはり,又は,推進
,,破る,待合室,水洗
,,辞める,待ち合わせる,吹奏
,,やや,街角,推測
,,唯一,真っ暗,水田
,,言う,真っ黒,推理
,,勇気,真っ青,数詞
,,有効,真っ先,崇拝
,,優秀,真っ白,据え付ける
,,優勝,祭る,据える
,,友情,窓口,清々しい
,,友人,纏まる,過ぎ
,,有能,纏める,救い
,,郵便,真似る,掬う
,,夕べ,まぶしい,少なくとも
,,有利,まぶた,直ぐ
,,床,マフラー,健やか
,,愉快,間も無く,濯ぐ
,,輸出,マラソン,進み
,,譲る,円い,勧め
,,豊か,稀,裾
,,ゆっくり,回り道,廃れる
,,輸入,満員,酸っぱい
,,許す,マンション,素敵
,,夜,満点,即ち
,,夜明け,見送る,すばしこい
,,よい,見下ろす,素早い
,,様,見掛け,済ます
,,酔う,三日月,澄ます
,,容易,岬,済まない
,,陽気な,みじめ,済みません
,,要求,ミシン,天皇
,,用心,店屋,刷り
,,様子,見出し,剃る
,,要するに,道順,擦れ違い
,,要素,見付かる,すれ違う
,,要点,見付ける,擦れる
,,曜日,みっともない,すんなり
,,予期,見直す,図々しい
,,横切る,見慣れる,ずばり
,,予算,醜い,ずぶ濡れ
,,止す,実る,ずらっと
,,予測,身分,ずるずる
,,夜中,見本,ずれ
,,世の中,見舞う,ずれる
,,余分,未満,制
,,予報,名字,生育
,,予防,ミリ,成果
,,読み,診る,正解
,,嫁,民間,正規
,,余裕,民謡,正義
,,よると,向う,生計
,,喜び,剥く,政権
,,宜しい,無限,精巧
,,よろしく,無地,制裁
,,四,蒸し暑い,政策
,,来,矛盾,清算
,,楽,蒸す,星座
,,利益,無数,生死
,,理解,紫,静止
,,陸,群れ,青春
,,利口,姪,聖書
,,離婚,名作,誠実
,,理想,名刺,成熟
,,率,名詞,清純
,,立派,名所,正常
,,留学,命ずる,制する
,,流行,迷信,整然
,,量,名物,盛装
,,両替,銘々,盛大
,,料金,目上,清濁
,,例,メーター,制定
,,礼,恵まれる,静的
,,礼儀,巡る,製鉄
,,冷静,目指す,晴天
,,列,目覚し,正当
,,列車,目下,成年
,,練習,目印,制服
,,連想,目立つ,征服
,,連続,めちゃくちゃ,製法
,,老人,めっきり,精密
,,労働,めでたい,声明
,,論じる,メニュー,姓名
,,論争,めまい,制約
,,論文,目安,生理
,,輪,免税,勢力
,,わがまま,面積,整列
,,別れ,面接,急かす
,,脇,面倒臭い,伜
,,分ける,儲かる,責務
,,わざと,儲ける,世辞
,,僅か,申し訳ない,世帯
,,綿,モーター,世代
,,話題,木材,切開
,,笑い,目次,接触
,,割る,潜る,設置
,,悪口,もしかしたら,折衷
,,我々,もしかすると,設定
,,湾,もたれる,説得
,,アイスクリーム,モダン,節
,,アイロン,餅,切実
,,アウト,もったいない,接続詞
,,アルバム,モデル,切ない
,,インク,元々,設立
,,ウイスキー,物置,攻め
,,エネルギー,物語る,世論
,,エンジン,物差し,仙
,,オーバー,物凄い,前
,,オフィス,モノレール,繊維
,,カー,紅葉,選挙
,,カード,揉む,宣教
,,キャプテン,燃やす,宣言
,,キャンプ,催し,先行
,,キロ,盛る,選考
,,クラシック,問答,戦災
,,グラス,やかましい,専修
,,グランド,夜間,戦術
,,クリーム,薬缶,潜水
,,クリスマス,役者,先先月
,,グループ,役所,先先週
,,ケース,訳す,先代
,,ゲーム,役人,先だって
,,コーチ,薬品,先着
,,コード,役目,先天的
,,ゴール,火傷,戦闘
,,コピー,夜行,潜入
,,コンピューター,矢印,船舶
,,サービス,矢鱈に,専用
,,サイン,薬局,占領
,,ジーンズ,やっつける,戦力
,,ジェット機,家主,税務署
,,ジュース,やっぱり,是正
,,スイッチ,破く,絶版
,,スープ,破れる,絶望
,,スキー,やむをえない,是非とも
,,スケート,軟らかい,膳
,,スター,遊園地,禅
,,スタイル,夕刊,全快
,,スタンド,友好,全盛
,,スピーチ,郵送,前提
,,セット,夕立,前途
,,センター,夕日,全滅
,,ソファー,悠々,善良
,,タイプライター,有料,前例
,,ダイヤ,浴衣,僧
,,タオル,湯気,沿う
,,ダンス,輸血,添う
,,チーズ,輸送,総
,,チーム,油断,相応
,,チャンス,ゆでる,総会
,,デート,湯飲み,創刊
,,デモ,緩い,送金
,,テント,溶岩,走行
,,トップ,容器,総合
,,ドライブ,用語,捜査
,,トラック,要旨,捜索
,,ドラマ,幼児,然うして
,,トランプ,容積,装飾
,,ドレス,幼稚,操縦
,,トン,幼稚園,創造
,,トンネル,用途,壮大
,,ノー,洋品店,騒動
,,ノック,養分,遭難
,,パーセント,羊毛,相場
,,バイオリン,漸く,装備
,,ハイキング,要領,創立
,,パイプ,欲張り,添える
,,パイロット,余計,即座に
,,パス,よこす,促進
,,パスポート,汚す,即する
,,バッグ,寄せる,束縛
,,バン,余所,側面
,,ハンサム,四つ角,其処
,,ビール,酔っ払い,其処で
,,ピクニック,予備,損なう
,,ビデオ,呼び掛ける,其処ら
,,ピン,呼び出す,素材
,,プラス,蘇る,阻止
,,プラン,因る,然して
,,ブレーキ,慶び,訴訟
,,プロ,慶ぶ,育ち
,,ベルト,来日,措置
,,ペンキ,落第,其方
,,ベンチ,ラッシュアワー,素っ気ない
,,ボーイ,欄,率直
,,ボート,ランチ,外方
,,ホーム,ランニング,備え付ける
,,ボール,乱暴,備わる
,,マーケット,理科,園
,,マイク,利害,その上
,,マスター,リズム,その内
,,ママ,リットル,その為
,,ミス,リボン,その外
,,ミルク,略す,其の儘
,,メモ,流域,聳える
,,メンバー,寮,素朴
,,ユーモア,両側,染まる
,,ヨーロッパ,漁師,背く
,,ヨット,領事,染める
,,ライター,領収,逸らす
,,ラケット,臨時,反り
,,レポート,留守番,其れ
,,ロケット,例外,其れから
,,ワイン,零点,各々
,,,冷凍,其れで
,,,レインコート,其れでは
,,,レクリェーション,其れでも
,,,レジャー,其れ共
